roi_ID,R,G,B,Schaeffer_Yeon_labels,halfpipe_labels,Schaeffer_Yeon_17_networks,halfpipe_17_networks
1,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_1,17Networks_LH_VisCent_ExStr_1,VisCent,VisCent
2,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_2,17Networks_LH_VisCent_ExStr_2,VisCent,VisCent
3,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_3,17Networks_LH_VisCent_ExStr_3,VisCent,VisCent
4,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_4,17Networks_LH_VisCent_ExStr_4,VisCent,VisCent
5,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_5,17Networks_LH_VisCent_ExStr_5,VisCent,VisCent
6,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_6,17Networks_LH_VisCent_ExStr_6,VisCent,VisCent
7,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_Striate_1,17Networks_LH_VisCent_ExStr_7,VisCent,VisCent
8,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_7,17Networks_LH_VisCent_ExStr_8,VisCent,VisCent
9,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_8,17Networks_LH_VisCent_ExStr_9,VisCent,VisCent
10,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_9,17Networks_LH_VisCent_ExStr_10,VisCent,VisCent
11,0.47059,0.070588,0.5352941666666667,17Networks_LH_VisCent_ExStr_10,17Networks_LH_VisCent_ExStr_11,VisCent,VisCent
12,0.47059,0.07451,0.5352941666666667,17Networks_LH_VisCent_ExStr_11,17Networks_LH_VisCent_ExStr_12,VisCent,VisCent
13,1.0,0.0039216,0.013469747826086955,17Networks_LH_VisPeri_ExStrInf_1,17Networks_LH_VisPeri_ExStrSup_1,VisPeri,VisPeri
14,1.0,0.0039216,0.013469747826086955,17Networks_LH_VisPeri_ExStrInf_2,17Networks_LH_VisPeri_ExStrSup_2,VisPeri,VisPeri
15,1.0,0.0039216,0.013469747826086955,17Networks_LH_VisPeri_ExStrInf_3,17Networks_LH_VisPeri_ExStrSup_3,VisPeri,VisPeri
16,1.0,0.0039216,0.013469747826086955,17Networks_LH_VisPeri_ExStrInf_4,17Networks_LH_VisPeri_ExStrSup_4,VisPeri,VisPeri
17,1.0,0.0039216,0.013469747826086955,17Networks_LH_VisPeri_ExStrInf_5,17Networks_LH_VisPeri_ExStrSup_5,VisPeri,VisPeri
18,1.0,0.0039216,0.013469747826086955,17Networks_LH_VisPeri_StriCal_1,17Networks_LH_VisPeri_ExStrSup_6,VisPeri,VisPeri
19,1.0,0.0039216,0.013469747826086955,17Networks_LH_VisPeri_StriCal_2,17Networks_LH_VisPeri_ExStrSup_7,VisPeri,VisPeri
20,1.0,0.0078431,0.013469747826086955,17Networks_LH_VisPeri_ExStrSup_1,17Networks_LH_VisPeri_ExStrSup_8,VisPeri,VisPeri
21,1.0,0.0078431,0.013469747826086955,17Networks_LH_VisPeri_ExStrSup_2,17Networks_LH_VisPeri_ExStrSup_9,VisPeri,VisPeri
22,1.0,0.0078431,0.013469747826086955,17Networks_LH_VisPeri_ExStrSup_3,17Networks_LH_VisPeri_ExStrSup_10,VisPeri,VisPeri
