Site,Scanner type,Field strength (T),Structural voxel size (mm),Structural TR (ms),Structural TE (ms),Structural flip angle (degrees),Functional voxel size (mm),Functional TR (ms),Functional TE (ms),Functional flip angle (degrees),N Volumes,"Study inclusion start date
 (YYYY-MM-DD)","Study inclusion end date 
 (YYYY-MM-DD; if available)","DOI to published paper 
 (if available)"
Amsterdam_AMC,"Philips, Best",3,1.1 x 1.1 x 1.1,6.9,3.1,8,3.0 x 3.0 x 3.0,2375,9;26;44,76,200,2016-02-15,2018-08-13,10.1038/s41398-020-0744-7
Amsterdam_VUmc,GE Signa HDxt,3,1 ?? 0.977 ?? 0.977,NA,NA,NA,3.3 ?? 3.3 x 3.0,1800,35,80,200,2008-01-01,2014-01-01,10.1080/15622975.2017.1353132
Barcelona_HCPB,TrioTim,3,1 x 0.9375 x 0.9375,2300,3.01,9,3 x 3 x 4,2000,29,80,240,2007-07-01,2013-06-30,-
Bergen,GE Discovery MR750,3,"2001, 1, 1",7,3,12,"3.44, 3.44, 3.3",1800,30,80,160,2015-08-24,2017-12-11,10.1016/j.bpsc.2020.01.007
Braga_UMinho/Braga_1.5T,Siemens Magnetom Avanto,1.5,1 x 1 x 1,2730,3.48,7,3.5 x 3.5 x 3.5,2000,30,90,180,2012-05-23,2017-04-07,10.1016/j.pscychresns.2019.06.008
Braga_UMinho/Braga_1.5T_act,Siemens Magnetom Avanto,1.5,1 x 1 x 1,2730,3.48,7,3.5 x 3.5 x 3.5,2000,30,90,180,2012-05-23,2017-04-07,10.1016/j.pscychresns.2019.06.008
Braga_UMinho/Braga_3T,Siemens Verio,3,1 x 1 x 1,2420,4.12,9,2 x 2 x 2,1000,27,62,720,2019-05-08,2020-11-04,NA
Brazil,Philips Medical Systems MRI Scanner,3,1 x 1 x 1,7,3.2,8,3 x 3 x 3,2000,30,80,130,2014-08-19,2017-11-27,NA
Cape_Town_UCT/Allegra,Siemens Allegra,3,"1.0, 0.5, 0.5",2530,6.57,9.1,"3.75, 3.75, 5.0",1600,27,70,152,28-09-2010,,
Cape_Town_UCT/Skyra,Siemens Skyra,3,"1.0, 1.0, 1.0",2530,1.69,7,"3.750, 3.750, 5.0",1730,27,70,298,28-05-2015,,
Chiba/CHB,GE Discovery MR750 3.0T,3,"1,1,1",8.136,3.17,15,"3.3,3.3,3.5",2300,30,81,201,2013-02-21,2018-05-01,10.3389/fpsyt.2017.00143
Chiba/CHBC,GE Discovery MR750 3.0T,3,"1,1,1",8.136,3.17,15,"3.3,3.3,3.5",2300,30,81,201,2013-06-19,continued,
Chiba/CHBSRPB,GE Discovery MR750 3.0T,3,"1.0156,1.0156,1.2",8.168,3.18,11,"3.3125,3.3125,3.2",2500,30,80,244,2018-06-19,continued,
Dresden,Siemens MAGNETOM Prisma,3,"0.8, 0.8, 0.8",,,,"2002, 2, 2",800,37,52,144,,,
Kyoto_KPU/Kyoto1.5T,Philips Gyroscan Intera,1.5,0.98 x 0.98 x 1.50,NA,NA,NA,3.00 x 3.00 x 3.00,2411,40,80,200,2009-06-01,2010-06-24,0.1016/j.eurpsy.2010.09.005
Kyoto_KPU/Kyoto3T,Philips Achieba TX,3,1.00 x 1.00 x 1.00,7.1,3.3,10,3.00 x 3.00 x 3.00,2000,30,80,200,2010-08-14,2012-03-09,10.1016/j.euroneuro.2015.08.017
Kyushu,"Achieva TX, Phillips",3,3.3125 x 3.3125 x 3.2,8.2,3,8,3.3125 x 3.3125 x 3.2,2500,30,80,236,15-2-2016,19-11-2018,doi:10.1016/j.nicl.2019.102004
Milan_HSR,"Ingenia CX, Philips, The Netherlands",3,"2001, 1, 1",7.9,3.7,8,"3, 3, 3.7",2000,30,85,200,2016-10-25,2020-11-17,NA
New_York,3T Siemens NKI TRIOTIM,3,0.80 x 0.80 x 0.80,2400,2.01,8,2.1 x 2.1 x 2.1,1000,25.4,60,480,2018-04-30,2020-03-10,
NYSPI_Columbia/Adults,GE MR 750,3,"0.8,0.8,0.8",7.86,3.11,12,"2,2,2",850,25,60,544,2015-03-03,2019-11-18,doi: 10.1038/s41386-020-00929-9
NYSPI_Columbia/Pediatric,GE MR 750,3,"0.8,0.8,0.8",7.86,3.11,12,"2,2,2",850,25,60,544,2015-04-25,2018-05-21,"doi: 10.1038/s41386-020-0613-3
doi: 10.1002/da.23187"
Yale_Pittinger/HCP_Prisma,3T Prisma,3,"0.8, 0.8, 0.8",,,,"2002, 2, 2",800,37,52,500,,,
